location,date,vaccine,total_vaccinations
Chile,12/24/2020,Pfizer/BioNTech,420
Chile,12/25/2020,Pfizer/BioNTech,5198
Chile,12/26/2020,Pfizer/BioNTech,8338
Chile,12/27/2020,Pfizer/BioNTech,8649
Chile,12/28/2020,Pfizer/BioNTech,8649
Chile,12/29/2020,Pfizer/BioNTech,8649
Chile,12/30/2020,Pfizer/BioNTech,8649
Chile,12/31/2020,Pfizer/BioNTech,8649
Chile,1/1/2021,Pfizer/BioNTech,8649
Chile,1/2/2021,Pfizer/BioNTech,8649
Chile,1/3/2021,Pfizer/BioNTech,8649
Chile,1/4/2021,Pfizer/BioNTech,9054
Chile,1/5/2021,Pfizer/BioNTech,10497
Chile,1/6/2021,Pfizer/BioNTech,10702
Chile,1/7/2021,Pfizer/BioNTech,10702
Chile,1/8/2021,Pfizer/BioNTech,10702
Chile,1/9/2021,Pfizer/BioNTech,10702
Chile,1/10/2021,Pfizer/BioNTech,10702
Chile,1/11/2021,Pfizer/BioNTech,10702
Chile,1/12/2021,Pfizer/BioNTech,10702
Chile,1/13/2021,Pfizer/BioNTech,11732
Chile,1/14/2021,Pfizer/BioNTech,18646
Chile,1/15/2021,Pfizer/BioNTech,22077
Chile,1/16/2021,Pfizer/BioNTech,22167
Chile,1/17/2021,Pfizer/BioNTech,22167
Chile,1/18/2021,Pfizer/BioNTech,33212
Chile,1/19/2021,Pfizer/BioNTech,52569
Chile,1/20/2021,Pfizer/BioNTech,61878
Chile,1/21/2021,Pfizer/BioNTech,64939
Chile,1/22/2021,Pfizer/BioNTech,65351
Chile,1/23/2021,Pfizer/BioNTech,65351
Chile,1/24/2021,Pfizer/BioNTech,65351
Chile,1/25/2021,Pfizer/BioNTech,66771
Chile,1/26/2021,Pfizer/BioNTech,67387
Chile,1/27/2021,Pfizer/BioNTech,67422
Chile,1/28/2021,Pfizer/BioNTech,67422
Chile,1/29/2021,Pfizer/BioNTech,67427
Chile,1/30/2021,Pfizer/BioNTech,67428
Chile,1/31/2021,Pfizer/BioNTech,67428
Chile,2/1/2021,Pfizer/BioNTech,67428
Chile,2/2/2021,Pfizer/BioNTech,67434
Chile,2/2/2021,Sinovac,13191
Chile,2/3/2021,Pfizer/BioNTech,67434
Chile,2/3/2021,Sinovac,183549
Chile,2/4/2021,Pfizer/BioNTech,69562
Chile,2/4/2021,Sinovac,357556
Chile,2/5/2021,Pfizer/BioNTech,70250
Chile,2/5/2021,Sinovac,526218
Chile,2/6/2021,Pfizer/BioNTech,70255
Chile,2/6/2021,Sinovac,554069
Chile,2/7/2021,Pfizer/BioNTech,70256
Chile,2/7/2021,Sinovac,562706
Chile,2/8/2021,Pfizer/BioNTech,82046
Chile,2/8/2021,Sinovac,784114
Chile,2/9/2021,Pfizer/BioNTech,101500
Chile,2/9/2021,Sinovac,1026489
Chile,2/10/2021,Pfizer/BioNTech,109934
Chile,2/10/2021,Sinovac,1298871
Chile,2/11/2021,Pfizer/BioNTech,113003
Chile,2/11/2021,Sinovac,1549907
Chile,2/12/2021,Pfizer/BioNTech,113357
Chile,2/12/2021,Sinovac,1778986
Chile,2/13/2021,Pfizer/BioNTech,113391
Chile,2/13/2021,Sinovac,1808491
Chile,2/14/2021,Pfizer/BioNTech,113391
Chile,2/14/2021,Sinovac,1812956
Chile,2/15/2021,Pfizer/BioNTech,113392
Chile,2/15/2021,Sinovac,2078792
Chile,2/16/2021,Pfizer/BioNTech,113402
Chile,2/16/2021,Sinovac,2298771
Chile,2/17/2021,Pfizer/BioNTech,113402
Chile,2/17/2021,Sinovac,2486794
Chile,2/18/2021,Pfizer/BioNTech,113403
Chile,2/18/2021,Sinovac,2642036
Chile,2/19/2021,Pfizer/BioNTech,113403
Chile,2/19/2021,Sinovac,2784146
Chile,2/20/2021,Pfizer/BioNTech,113403
Chile,2/20/2021,Sinovac,2793785
Chile,2/21/2021,Pfizer/BioNTech,113403
Chile,2/21/2021,Sinovac,2794949
Chile,2/22/2021,Pfizer/BioNTech,125499
Chile,2/22/2021,Sinovac,2890983
Chile,2/23/2021,Pfizer/BioNTech,150347
Chile,2/23/2021,Sinovac,2960389
Chile,2/24/2021,Pfizer/BioNTech,178870
Chile,2/24/2021,Sinovac,3018062
Chile,2/25/2021,Pfizer/BioNTech,212585
Chile,2/25/2021,Sinovac,3070417
Chile,2/26/2021,Pfizer/BioNTech,242318
Chile,2/26/2021,Sinovac,3118909
Chile,2/27/2021,Pfizer/BioNTech,248642
Chile,2/27/2021,Sinovac,3122628
Chile,2/28/2021,Pfizer/BioNTech,248644
Chile,2/28/2021,Sinovac,3122981
Chile,3/1/2021,Pfizer/BioNTech,263548
Chile,3/1/2021,Sinovac,3245612
Chile,3/2/2021,Pfizer/BioNTech,294470
Chile,3/2/2021,Sinovac,3386044
Chile,3/3/2021,Pfizer/BioNTech,313027
Chile,3/3/2021,Sinovac,3679258
Chile,3/4/2021,Pfizer/BioNTech,322133
Chile,3/4/2021,Sinovac,3980557
Chile,3/5/2021,Pfizer/BioNTech,327887
Chile,3/5/2021,Sinovac,4272482
Chile,3/6/2021,Pfizer/BioNTech,328231
Chile,3/6/2021,Sinovac,4305897
Chile,3/7/2021,Pfizer/BioNTech,328337
Chile,3/7/2021,Sinovac,4313747
Chile,3/8/2021,Pfizer/BioNTech,340926
Chile,3/8/2021,Sinovac,4651569
Chile,3/9/2021,Pfizer/BioNTech,378518
Chile,3/9/2021,Sinovac,4990310
Chile,3/10/2021,Pfizer/BioNTech,420128
Chile,3/10/2021,Sinovac,5349827
Chile,3/11/2021,Pfizer/BioNTech,465820
Chile,3/11/2021,Sinovac,5720839
Chile,3/12/2021,Pfizer/BioNTech,483223
Chile,3/12/2021,Sinovac,6077567
Chile,3/13/2021,Pfizer/BioNTech,483777
Chile,3/13/2021,Sinovac,6127416
Chile,3/14/2021,Pfizer/BioNTech,483777
Chile,3/14/2021,Sinovac,6133992
Chile,3/15/2021,Pfizer/BioNTech,507668
Chile,3/15/2021,Sinovac,6540087
Chile,3/16/2021,Pfizer/BioNTech,561180
Chile,3/16/2021,Sinovac,6896402
Chile,3/17/2021,Pfizer/BioNTech,616687
Chile,3/17/2021,Sinovac,7207824
Chile,3/18/2021,Pfizer/BioNTech,666241
Chile,3/18/2021,Sinovac,7492962
Chile,3/19/2021,Pfizer/BioNTech,689399
Chile,3/19/2021,Sinovac,7764091
Chile,3/20/2021,Pfizer/BioNTech,691316
Chile,3/20/2021,Sinovac,7796349
Chile,3/21/2021,Pfizer/BioNTech,691326
Chile,3/21/2021,Sinovac,7800490
Chile,3/22/2021,Pfizer/BioNTech,727390
Chile,3/22/2021,Sinovac,8032652
Chile,3/23/2021,Pfizer/BioNTech,787250
Chile,3/23/2021,Sinovac,8213264
